player_depth_chart_position,player_id,player_name,player_position,player_team
,8610,Caleb Jones,T,GB
,5643,Austin Fleer,OT,
,6091,Jovon Durante,WR,
,8087,K.J. Costello,QB,
,3041,Ross Travis,TE,
,5649,Duplicate Player,,
,5444,William Ossai,LB,
,118,Sebastian Janikowski,K,
RUSH,7723,Elerson Smith,LB,NYG
LOLB,3234,Carl Nassib,DE,TB
,2777,Tavarus Dantzler,OLB,
,1092,Sean Spence,LB,
,2585,Thomas Rawls,RB,
,4846,Taybor Pepper,LS,SF
,1690,Ka'Lial Glaud,OLB,
PK,4666,Younghoe Koo,K,ATL
,5626,Bunmi Rotimi,DE,
,8107,Nikola Kalinic,TE,IND
RT,5901,Tytus Howard,OL,HOU
,6852,Trey Adams,OT,
LG,1900,Joel Bitonio,OG,CLE
,3602,Daniel Dillon,LS,
SS,6872,Kyle Dugger,DB,NE
,7980,John Raine,FB,
,362,David Johnson,TE,
RWR,1352,Robert Woods,WR,TEN
,8233,Mataeo Durant,RB,
LILB,6949,Jordyn Brooks,LB,SEA
,5909,Hamp Cheevers,CB,
,4077,Jamal Adams,SS,SEA
,8639,Shabari Davis,CB,
,2080,Jay Bromley,DT,
,1254,Josh Robinson,CB,
RB,6918,Salvon Ahmed,RB,MIA
,3795,Blake Muir,G,
,5982,Marquise Blair,DB,PHI
,1554,Rufus Johnson,LB,
,2029,T.J. Carrie,CB,CAR
,5533,Trenton Thompson,DT,
NT,5532,Daniel Ekuale,DT,NE
,1550,Ryan Griffin,QB,TB
RB,5967,Tony Pollard,RB,DAL
,4867,Rick Smith,,
PK,49,Robbie Gould,K,SF
,7382,Dominique Ross,LB,
LCB,8470,Joshua Williams,CB,KC
,4308,Deron Washington,FS,
,4458,Zach Franklin,CB,
,6547,Isaiah Wharton,SS,
,3563,Steve Longa,OLB,
,5587,Chris Warren,RB,
,7241,Marcel Spears,LB,
SS,7776,Israel Mukuamu,DB,DAL
,4704,Tyler Ferguson,QB,
,2522,Deon Simon,NT,
,5507,Secdrick Cooper,S,
,4685,Roubbens Joseph,OT,
,3335,Drew Kaser,P,
,6717,Ka'John Armstrong,OT,
LDE,5308,Duplicate Player,DE,LAR
,7168,Zane Lewis,CB,
,217,Donte Whitner,SS,
,1804,Carey Spear,K,
,5037,Breeland Speaks,DE,
,8688,Duplicate Player,,
,10,Stephen Tulloch,LB,
,2797,Shawn Lemon,OLB,
,7163,Jake Benzinger,OT,
,2303,Josh Harris,RB,
,6637,Nico Evans,RB,
,3673,Nick Rose,K,
,4457,J.P. Flynn,G,
RB,4455,Matt Breida,RB,NYG
,5376,Jack Cichy,LB,
,6111,Jake Browning,QB,CIN
,7961,Jose Borregales,K,
,7119,Kenny Robinson,DB,
,2655,Nick Dzubnar,LB,
,8798,Felix Harper,QB,
DT,6510,Jalen Dalton,DT,ATL
,6197,Durval Queiroz Neto,G,MIA
FS,7715,Camryn Bynum,DB,MIN
NB,6289,Duke Shelley,DB,MIN
,7890,Javon McKinley,WR,
LWR,3286,Demarcus Robinson,WR,BAL
,6906,Antonio Gandy-Golden,TE,
,2537,Mario Alford,WR,
,1016,Brian De La Puente,C,
,6328,Kyron Brown,CB,TEN
,5808,Connor Jessop,QB,
,386,Brandon Lloyd,WR,
,8553,Tre Ford,QB,
,4918,Brock Miller,P,
,6546,Kenny Bigelow,DT,
,4330,JoJo Natson,WR,
,659,Cedric Peerman,RB,
