week,team,points,matchup,opp,opp_points,user_id,team_avatar,team_name,user_name,expected_wins
1.0,4.0,129.48,1.0,10.0,114.48,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0,0.8395351986645582
2.0,4.0,126.02,1.0,6.0,128.36,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0,0.800264507959691
3.0,4.0,76.88,1.0,1.0,97.26,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0,0.0830515497884474
7.0,4.0,88.54,1.0,2.0,141.74,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0,0.1820673290142539
6.0,4.0,87.26,1.0,7.0,91.42,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0,0.16782605196086306
4.0,4.0,130.18,1.0,5.0,129.5,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0,0.8466748382087974
5.0,4.0,125.66,1.0,9.0,74.86,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0,0.7957899539683181
8.0,4.0,116.42,1.0,8.0,113.48,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0,0.6564747129318422
9.0,4.0,93.4,1.0,3.0,113.8,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0,0.24460170087475927
10.0,4.0,116.36,1.0,10.0,109.48,725860459504295936,https://sleepercdn.com/uploads/efb3b7adb47f53e916db9d5d520e5542.jpg,Tyus Guyus’s,jhanna0,0.6554304908704216
1.0,10.0,114.48,1.0,4.0,129.48,725486656899080192,,jittounas,jittounas,0.6219930001406863
2.0,10.0,108.26,2.0,1.0,91.7,725486656899080192,,jittounas,jittounas,0.5045866912528728
3.0,10.0,93.42,2.0,6.0,99.36,725486656899080192,,jittounas,jittounas,0.24488679457427814
7.0,10.0,98.34,2.0,8.0,113.32,725486656899080192,,jittounas,jittounas,0.32155056903295487
6.0,10.0,112.48,2.0,2.0,95.58,725486656899080192,,jittounas,jittounas,0.5851088665450498
4.0,10.0,85.14,2.0,9.0,53.46,725486656899080192,,jittounas,jittounas,0.14621492440685732
5.0,10.0,146.4,2.0,5.0,98.88,725486656899080192,,jittounas,jittounas,0.9507150881437864
8.0,10.0,142.36,2.0,3.0,83.12,725486656899080192,,jittounas,jittounas,0.933890271905618
9.0,10.0,95.76,2.0,7.0,78.42,725486656899080192,,jittounas,jittounas,0.2797670432513768
10.0,10.0,109.48,1.0,4.0,116.36,725486656899080192,,jittounas,jittounas,0.5280779885740251
1.0,5.0,120.64,3.0,9.0,111.82,726953467654098944,https://sleepercdn.com/uploads/fd760797c35add4a535359dc2b4608a4.jpg,Ceolas DMs,tphil3,0.7257285903689263
2.0,5.0,79.86,3.0,7.0,112.7,726953467654098944,https://sleepercdn.com/uploads/fd760797c35add4a535359dc2b4608a4.jpg,Ceolas DMs,tphil3,0.10231338066225175
3.0,5.0,84.42,3.0,2.0,88.94,726953467654098944,https://sleepercdn.com/uploads/fd760797c35add4a535359dc2b4608a4.jpg,Ceolas DMs,tphil3,0.1394187260995312
7.0,5.0,117.14,4.0,1.0,89.46,726953467654098944,https://sleepercdn.com/uploads/fd760797c35add4a535359dc2b4608a4.jpg,Ceolas DMs,tphil3,0.6688853140939296
6.0,5.0,60.18,5.0,3.0,101.46,726953467654098944,https://sleepercdn.com/uploads/fd760797c35add4a535359dc2b4608a4.jpg,Ceolas DMs,tphil3,0.02437675146774002
4.0,5.0,129.5,1.0,4.0,130.18,726953467654098944,https://sleepercdn.com/uploads/fd760797c35add4a535359dc2b4608a4.jpg,Ceolas DMs,tphil3,0.8397428679923961
5.0,5.0,98.88,2.0,10.0,146.4,726953467654098944,https://sleepercdn.com/uploads/fd760797c35add4a535359dc2b4608a4.jpg,Ceolas DMs,tphil3,0.3307019748811341
8.0,5.0,63.94,3.0,6.0,155.82,726953467654098944,https://sleepercdn.com/uploads/fd760797c35add4a535359dc2b4608a4.jpg,Ceolas DMs,tphil3,0.03231153113144915
9.0,5.0,133.38,5.0,8.0,79.46,726953467654098944,https://sleepercdn.com/uploads/fd760797c35add4a535359dc2b4608a4.jpg,Ceolas DMs,tphil3,0.8760484663557637
10.0,5.0,86.58,3.0,9.0,129.8,726953467654098944,https://sleepercdn.com/uploads/fd760797c35add4a535359dc2b4608a4.jpg,Ceolas DMs,tphil3,0.16062931141850825
1.0,9.0,111.82,3.0,5.0,120.64,726963254827483136,https://sleepercdn.com/uploads/3edef32f9a690477680738ad21c860b6.jpg,Schleck is a Thicc Coward,JM0,0.5727021426515736
2.0,9.0,132.8,4.0,8.0,89.3,726963254827483136,https://sleepercdn.com/uploads/3edef32f9a690477680738ad21c860b6.jpg,Schleck is a Thicc Coward,JM0,0.871109313829548
3.0,9.0,97.08,4.0,3.0,101.58,726963254827483136,https://sleepercdn.com/uploads/3edef32f9a690477680738ad21c860b6.jpg,Schleck is a Thicc Coward,JM0,0.3007302763062301
7.0,9.0,92.76,5.0,7.0,98.48,726963254827483136,https://sleepercdn.com/uploads/3edef32f9a690477680738ad21c860b6.jpg,Schleck is a Thicc Coward,JM0,0.2355976201022073
6.0,9.0,99.7,4.0,1.0,92.62,726963254827483136,https://sleepercdn.com/uploads/3edef32f9a690477680738ad21c860b6.jpg,Schleck is a Thicc Coward,JM0,0.3448452363780409
4.0,9.0,53.46,2.0,10.0,85.14,726963254827483136,https://sleepercdn.com/uploads/3edef32f9a690477680738ad21c860b6.jpg,Schleck is a Thicc Coward,JM0,0.014662744843291775
5.0,9.0,74.86,1.0,4.0,125.66,726963254827483136,https://sleepercdn.com/uploads/3edef32f9a690477680738ad21c860b6.jpg,Schleck is a Thicc Coward,JM0,0.07193315628079401
8.0,9.0,122.34,5.0,2.0,161.16,726963254827483136,https://sleepercdn.com/uploads/3edef32f9a690477680738ad21c860b6.jpg,Schleck is a Thicc Coward,JM0,0.751038218226395
9.0,9.0,109.82,3.0,6.0,112.48,726963254827483136,https://sleepercdn.com/uploads/3edef32f9a690477680738ad21c860b6.jpg,Schleck is a Thicc Coward,JM0,0.5346070968767324
10.0,9.0,129.8,3.0,5.0,86.58,726963254827483136,https://sleepercdn.com/uploads/3edef32f9a690477680738ad21c860b6.jpg,Schleck is a Thicc Coward,JM0,0.8428318589894424
